Start,Value,End,Duration
2022-12-12 18:44:19.859,ShellExperienceHost.exe,2022-12-12 18:44:25.860,0 days 00:00:06.001000
2022-12-12 18:44:25.860,firefox.exe,2022-12-12 18:44:37.861,0 days 00:00:12.001000
2022-12-12 18:44:37.861,ShellExperienceHost.exe,2022-12-12 18:44:40.861,0 days 00:00:03
2022-12-12 18:44:40.861,firefox.exe,2022-12-12 18:46:46.877,0 days 00:02:06.016000
2022-12-12 18:46:46.877,SearchApp.exe,2022-12-12 18:46:52.877,0 days 00:00:06
2022-12-12 18:46:52.877,firefox.exe,2022-12-12 18:48:25.890,0 days 00:01:33.013000
2022-12-12 18:48:25.890,explorer.exe,2022-12-12 18:48:28.890,0 days 00:00:03
2022-12-12 18:48:28.890,vpnui.exe,2022-12-12 18:48:37.891,0 days 00:00:09.001000
2022-12-12 18:48:37.891,firefox.exe,2022-12-12 18:48:46.891,0 days 00:00:09
2022-12-12 18:48:46.891,vpndownloader.exe,2022-12-12 18:48:49.891,0 days 00:00:03
2022-12-12 18:48:49.891,firefox.exe,2022-12-12 18:55:47.046,0 days 00:06:57.155000
2022-12-12 18:55:47.046,VsDebugConsole.exe,2022-12-12 18:55:50.046,0 days 00:00:03
2022-12-12 18:55:50.046,notepad.exe,2022-12-12 18:55:53.047,0 days 00:00:03.001000
2022-12-12 18:55:53.047,Discord.exe,2022-12-12 18:57:14.057,0 days 00:01:21.010000
2022-12-12 18:57:14.057,firefox.exe,2022-12-12 18:58:23.063,0 days 00:01:09.006000
2022-12-12 18:58:23.063,Teams.exe,2022-12-12 18:58:32.063,0 days 00:00:09
2022-12-12 18:58:32.063,explorer.exe,2022-12-12 18:59:08.067,0 days 00:00:36.004000
2022-12-12 18:59:08.067,notepad++.exe,2022-12-12 18:59:32.070,0 days 00:00:24.003000
2022-12-12 18:59:32.070,SearchApp.exe,2022-12-12 18:59:35.071,0 days 00:00:03.001000
2022-12-12 18:59:35.071,explorer.exe,2022-12-12 18:59:41.072,0 days 00:00:06.001000
2022-12-12 18:59:41.072,cmd.exe,2022-12-12 18:59:47.073,0 days 00:00:06.001000
2022-12-12 18:59:47.073,explorer.exe,2022-12-12 18:59:50.073,0 days 00:00:03
2022-12-12 18:59:50.073,firefox.exe,2022-12-12 18:59:53.073,0 days 00:00:03
2022-12-12 18:59:53.073,vpnui.exe,2022-12-12 18:59:56.074,0 days 00:00:03.001000
2022-12-12 18:59:56.074,firefox.exe,2022-12-12 19:01:11.084,0 days 00:01:15.010000
2022-12-12 19:01:11.084,explorer.exe,2022-12-12 19:01:14.084,0 days 00:00:03
2022-12-12 19:01:14.084,SearchApp.exe,2022-12-12 19:01:50.087,0 days 00:00:36.003000
2022-12-12 19:01:50.087,explorer.exe,2022-12-12 19:03:44.100,0 days 00:01:54.013000
2022-12-12 19:03:44.100,Teams.exe,2022-12-12 19:05:05.111,0 days 00:01:21.011000
2022-12-12 19:05:05.111,explorer.exe,2022-12-12 19:05:11.112,0 days 00:00:06.001000
2022-12-12 19:05:11.112,devenv.exe,2022-12-12 19:05:26.113,0 days 00:00:15.001000
2022-12-12 19:05:26.113,explorer.exe,2022-12-12 19:05:56.117,0 days 00:00:30.004000
2022-12-12 19:05:56.117,devenv.exe,2022-12-12 19:05:59.117,0 days 00:00:03
2022-12-12 19:05:59.117,Discord.exe,2022-12-12 19:06:02.118,0 days 00:00:03.001000
2022-12-12 19:06:02.118,devenv.exe,2022-12-12 19:06:08.119,0 days 00:00:06.001000
2022-12-12 19:06:08.119,Discord.exe,2022-12-12 19:06:23.121,0 days 00:00:15.002000
2022-12-12 19:06:23.121,devenv.exe,2022-12-12 19:07:20.128,0 days 00:00:57.007000
2022-12-12 19:07:20.128,explorer.exe,2022-12-12 19:07:44.133,0 days 00:00:24.005000
2022-12-12 19:07:44.133,devenv.exe,2022-12-12 19:07:59.135,0 days 00:00:15.002000
2022-12-12 19:07:59.135,firefox.exe,2022-12-12 19:08:38.140,0 days 00:00:39.005000
2022-12-12 19:08:38.140,devenv.exe,2022-12-12 19:08:50.142,0 days 00:00:12.002000
2022-12-12 19:08:50.142,firefox.exe,2022-12-12 19:12:59.173,0 days 00:04:09.031000
2022-12-12 19:12:59.173,Discord.exe,2022-12-12 19:13:02.174,0 days 00:00:03.001000
2022-12-12 19:13:02.174,firefox.exe,2022-12-12 19:13:05.174,0 days 00:00:03
2022-12-12 19:13:05.174,Discord.exe,2022-12-12 19:13:23.174,0 days 00:00:18
2022-12-12 19:13:23.174,firefox.exe,2022-12-12 19:18:08.209,0 days 00:04:45.035000
2022-12-12 19:18:08.209,devenv.exe,2022-12-12 19:18:41.214,0 days 00:00:33.005000
2022-12-12 19:18:41.214,Discord.exe,2022-12-12 19:18:50.214,0 days 00:00:09
2022-12-12 19:18:50.214,devenv.exe,2022-12-12 19:19:11.216,0 days 00:00:21.002000
2022-12-12 19:19:11.216,explorer.exe,2022-12-12 19:19:50.219,0 days 00:00:39.003000
2022-12-12 19:19:50.219,devenv.exe,2022-12-12 19:20:02.220,0 days 00:00:12.001000
2022-12-12 19:20:02.220,explorer.exe,2022-12-12 19:20:20.224,0 days 00:00:18.004000
2022-12-12 19:20:20.224,devenv.exe,2022-12-12 19:20:23.224,0 days 00:00:03
2022-12-12 19:20:23.224,explorer.exe,2022-12-12 19:20:29.225,0 days 00:00:06.001000
2022-12-12 19:20:29.225,devenv.exe,2022-12-12 19:22:47.242,0 days 00:02:18.017000
2022-12-12 19:22:47.242,explorer.exe,2022-12-12 19:23:29.247,0 days 00:00:42.005000
2022-12-12 19:23:29.247,devenv.exe,2022-12-12 19:25:53.264,0 days 00:02:24.017000
2022-12-12 19:25:53.264,VsDebugConsole.exe,2022-12-12 19:26:02.265,0 days 00:00:09.001000
2022-12-12 19:26:02.265,steam.exe,2022-12-12 19:26:05.265,0 days 00:00:03
2022-12-12 19:26:05.265,steamwebhelper.exe,2022-12-12 19:26:14.267,0 days 00:00:09.002000
2022-12-12 19:26:14.267,steam.exe,2022-12-12 19:26:32.268,0 days 00:00:18.001000
2022-12-12 19:26:32.268,firefox.exe,2022-12-12 19:31:41.301,0 days 00:05:09.033000
2022-12-12 19:31:41.301,steam.exe,2022-12-12 19:31:44.302,0 days 00:00:03.001000
2022-12-12 19:31:44.302,firefox.exe,2022-12-12 19:31:53.303,0 days 00:00:09.001000
2022-12-12 19:31:53.303,Yakuza0.exe,2022-12-12 19:31:56.304,0 days 00:00:03.001000
2022-12-12 19:31:56.304,firefox.exe,2022-12-12 19:31:59.304,0 days 00:00:03
2022-12-12 19:31:59.304,Yakuza0.exe,2022-12-12 19:35:08.337,0 days 00:03:09.033000
2022-12-12 19:35:08.337,firefox.exe,2022-12-12 19:35:11.337,0 days 00:00:03
2022-12-12 19:35:11.337,Yakuza0.exe,2022-12-12 19:38:05.353,0 days 00:02:54.016000
2022-12-12 19:38:05.353,firefox.exe,2022-12-12 19:38:11.354,0 days 00:00:06.001000
2022-12-12 19:38:11.354,Yakuza0.exe,2022-12-12 19:42:20.392,0 days 00:04:09.038000
2022-12-12 19:42:20.392,firefox.exe,2022-12-12 19:42:23.392,0 days 00:00:03
2022-12-12 19:42:23.392,Yakuza0.exe,2022-12-12 19:45:02.405,0 days 00:02:39.013000
2022-12-12 19:45:02.405,firefox.exe,2022-12-12 19:45:05.405,0 days 00:00:03
2022-12-12 19:45:05.405,Yakuza0.exe,2022-12-12 20:06:08.503,0 days 00:21:03.098000
2022-12-12 20:06:08.503,firefox.exe,2022-12-12 20:06:11.503,0 days 00:00:03
2022-12-13 09:55:06.038,explorer.exe,2022-12-13 09:55:15.042,0 days 00:00:09.004000
2022-12-13 09:55:15.042,SearchApp.exe,2022-12-13 09:55:18.042,0 days 00:00:03
2022-12-13 09:55:18.042,explorer.exe,2022-12-13 09:55:21.042,0 days 00:00:03
2022-12-13 09:55:21.042,chrome.exe,2022-12-13 09:55:27.043,0 days 00:00:06.001000
2022-12-13 09:55:27.043,Zoom.exe,2022-12-13 09:55:36.045,0 days 00:00:09.002000
2022-12-13 09:55:36.045,chrome.exe,2022-12-13 09:55:48.047,0 days 00:00:12.002000
2022-12-13 09:55:48.047,explorer.exe,2022-12-13 09:55:51.048,0 days 00:00:03.001000
2022-12-13 09:55:51.048,Teams.exe,2022-12-13 09:56:03.049,0 days 00:00:12.001000
2022-12-13 09:56:03.049,chrome.exe,2022-12-13 09:56:06.049,0 days 00:00:03
2022-12-13 09:56:06.049,Discord.exe,2022-12-13 09:56:09.050,0 days 00:00:03.001000
2022-12-13 09:56:09.050,Teams.exe,2022-12-13 09:56:21.051,0 days 00:00:12.001000
2022-12-13 09:56:21.051,chrome.exe,2022-12-13 09:56:24.051,0 days 00:00:03
2022-12-13 09:56:24.051,Teams.exe,2022-12-13 09:57:24.056,0 days 00:01:00.005000
2022-12-13 09:57:24.056,chrome.exe,2022-12-13 09:58:39.067,0 days 00:01:15.011000
2022-12-13 09:58:39.067,firefox.exe,2022-12-13 09:59:09.071,0 days 00:00:30.004000
2022-12-13 09:59:09.071,chrome.exe,2022-12-13 09:59:15.071,0 days 00:00:06
2022-12-13 09:59:15.071,firefox.exe,2022-12-13 09:59:57.075,0 days 00:00:42.004000
2022-12-13 09:59:57.075,chrome.exe,2022-12-13 10:00:09.077,0 days 00:00:12.002000
2022-12-13 10:00:09.077,firefox.exe,2022-12-13 10:00:12.077,0 days 00:00:03
2022-12-13 10:00:12.077,chrome.exe,2022-12-13 10:00:15.077,0 days 00:00:03
2022-12-13 10:00:15.077,firefox.exe,2022-12-13 10:00:18.078,0 days 00:00:03.001000
2022-12-13 10:00:18.078,chrome.exe,2022-12-13 10:00:36.080,0 days 00:00:18.002000
2022-12-13 10:00:36.080,firefox.exe,2022-12-13 10:01:18.085,0 days 00:00:42.005000
2022-12-13 10:01:18.085,chrome.exe,2022-12-13 10:02:06.092,0 days 00:00:48.007000
2022-12-13 10:02:06.092,firefox.exe,2022-12-13 10:02:09.092,0 days 00:00:03
2022-12-13 10:02:09.092,chrome.exe,2022-12-13 10:04:09.107,0 days 00:02:00.015000
2022-12-13 10:04:09.107,Discord.exe,2022-12-13 10:04:18.109,0 days 00:00:09.002000
2022-12-13 10:04:18.109,chrome.exe,2022-12-13 10:09:00.144,0 days 00:04:42.035000
2022-12-13 10:09:00.144,SearchApp.exe,2022-12-13 10:09:06.145,0 days 00:00:06.001000
2022-12-13 10:09:06.145,explorer.exe,2022-12-13 10:09:09.146,0 days 00:00:03.001000
2022-12-13 10:09:09.146,Talkdesk.exe,2022-12-13 10:09:18.148,0 days 00:00:09.002000
2022-12-13 10:09:18.148,chrome.exe,2022-12-13 10:09:33.150,0 days 00:00:15.002000
2022-12-13 10:09:33.150,Talkdesk.exe,2022-12-13 10:09:36.150,0 days 00:00:03
2022-12-13 10:09:36.150,chrome.exe,2022-12-13 10:10:09.155,0 days 00:00:33.005000
2022-12-13 10:10:09.155,Discord.exe,2022-12-13 10:11:24.167,0 days 00:01:15.012000
2022-12-13 10:11:24.167,chrome.exe,2022-12-13 10:11:27.168,0 days 00:00:03.001000
2022-12-13 10:11:27.168,Discord.exe,2022-12-13 10:11:30.169,0 days 00:00:03.001000
2022-12-13 10:11:30.169,chrome.exe,2022-12-13 10:12:06.174,0 days 00:00:36.005000
2022-12-13 10:12:06.174,Discord.exe,2022-12-13 10:12:09.175,0 days 00:00:03.001000
2022-12-13 10:12:09.175,chrome.exe,2022-12-13 10:12:48.180,0 days 00:00:39.005000
2022-12-13 10:12:48.180,Discord.exe,2022-12-13 10:13:00.181,0 days 00:00:12.001000
2022-12-13 10:13:00.181,ScreenClippingHost.exe,2022-12-13 10:13:03.181,0 days 00:00:03
2022-12-13 10:13:03.181,Discord.exe,2022-12-13 10:13:09.182,0 days 00:00:06.001000
2022-12-13 10:13:09.182,explorer.exe,2022-12-13 10:13:12.183,0 days 00:00:03.001000
2022-12-13 10:13:12.183,msedge.exe,2022-12-13 10:13:24.184,0 days 00:00:12.001000
2022-12-13 10:13:24.184,Discord.exe,2022-12-13 10:13:33.184,0 days 00:00:09
2022-12-13 10:13:33.184,chrome.exe,2022-12-13 10:13:39.185,0 days 00:00:06.001000
2022-12-13 10:13:39.185,Discord.exe,2022-12-13 10:14:24.190,0 days 00:00:45.005000
2022-12-13 10:14:24.190,chrome.exe,2022-12-13 10:14:30.190,0 days 00:00:06
2022-12-13 10:14:30.190,firefox.exe,2022-12-13 10:14:54.194,0 days 00:00:24.004000
2022-12-13 10:14:54.194,Discord.exe,2022-12-13 10:15:03.195,0 days 00:00:09.001000
2022-12-13 10:15:03.195,msedge.exe,2022-12-13 10:15:18.196,0 days 00:00:15.001000
2022-12-13 10:15:18.196,explorer.exe,2022-12-13 10:15:24.198,0 days 00:00:06.002000
2022-12-13 10:15:24.198,Talkdesk.exe,2022-12-13 10:15:36.200,0 days 00:00:12.002000
2022-12-13 10:15:36.200,firefox.exe,2022-12-13 10:15:54.203,0 days 00:00:18.003000
2022-12-13 10:15:54.203,chrome.exe,2022-12-13 10:16:09.206,0 days 00:00:15.003000
2022-12-13 10:16:09.206,Talkdesk.exe,2022-12-13 10:16:12.207,0 days 00:00:03.001000
2022-12-13 10:16:12.207,Discord.exe,2022-12-13 10:16:18.208,0 days 00:00:06.001000
2022-12-13 10:16:18.208,Talkdesk.exe,2022-12-13 10:17:39.219,0 days 00:01:21.011000
2022-12-13 10:17:39.219,chrome.exe,2022-12-13 10:17:42.220,0 days 00:00:03.001000
2022-12-13 10:17:42.220,Discord.exe,2022-12-13 10:17:48.220,0 days 00:00:06
2022-12-13 10:17:48.220,Talkdesk.exe,2022-12-13 10:17:51.220,0 days 00:00:03
2022-12-13 10:17:51.220,Discord.exe,2022-12-13 10:18:00.222,0 days 00:00:09.002000
2022-12-13 10:18:00.222,chrome.exe,2022-12-13 10:18:06.224,0 days 00:00:06.002000
2022-12-13 10:18:06.224,Talkdesk.exe,2022-12-13 10:18:09.225,0 days 00:00:03.001000
2022-12-13 10:18:09.225,chrome.exe,2022-12-13 10:18:15.225,0 days 00:00:06
2022-12-13 10:18:15.225,Talkdesk.exe,2022-12-13 10:18:42.229,0 days 00:00:27.004000
2022-12-13 10:18:42.229,chrome.exe,2022-12-13 10:20:09.240,0 days 00:01:27.011000
2022-12-13 10:20:09.240,Discord.exe,2022-12-13 10:20:30.242,0 days 00:00:21.002000
2022-12-13 10:20:30.242,chrome.exe,2022-12-13 10:20:42.243,0 days 00:00:12.001000
2022-12-13 10:20:42.243,Discord.exe,2022-12-13 10:20:54.245,0 days 00:00:12.002000
2022-12-13 10:20:54.245,chrome.exe,2022-12-13 10:21:00.246,0 days 00:00:06.001000
2022-12-13 10:21:00.246,Discord.exe,2022-12-13 10:21:27.250,0 days 00:00:27.004000
2022-12-13 10:21:27.250,chrome.exe,2022-12-13 10:21:33.251,0 days 00:00:06.001000
2022-12-13 10:21:33.251,Discord.exe,2022-12-13 10:21:36.251,0 days 00:00:03
2022-12-13 10:21:36.251,chrome.exe,2022-12-13 10:21:51.254,0 days 00:00:15.003000
2022-12-13 10:21:51.254,Discord.exe,2022-12-13 10:22:00.256,0 days 00:00:09.002000
2022-12-13 10:22:00.256,chrome.exe,2022-12-13 10:22:12.257,0 days 00:00:12.001000
2022-12-13 10:22:12.257,Teams.exe,2022-12-13 10:22:24.259,0 days 00:00:12.002000
2022-12-13 10:22:24.259,chrome.exe,2022-12-13 10:23:03.265,0 days 00:00:39.006000
2022-12-13 10:23:03.265,Teams.exe,2022-12-13 10:23:21.266,0 days 00:00:18.001000
2022-12-13 10:23:21.266,explorer.exe,2022-12-13 10:23:24.266,0 days 00:00:03
2022-12-13 10:23:24.266,Teams.exe,2022-12-13 10:23:27.266,0 days 00:00:03
2022-12-13 10:23:27.266,Discord.exe,2022-12-13 10:23:30.266,0 days 00:00:03
2022-12-13 10:23:30.266,Teams.exe,2022-12-13 10:23:42.269,0 days 00:00:12.003000
2022-12-13 10:23:42.269,chrome.exe,2022-12-13 10:23:45.269,0 days 00:00:03
2022-12-13 10:23:45.269,Teams.exe,2022-12-13 10:24:27.274,0 days 00:00:42.005000
2022-12-13 10:24:27.274,ScreenClippingHost.exe,2022-12-13 10:24:30.275,0 days 00:00:03.001000
2022-12-13 10:24:30.275,Teams.exe,2022-12-13 10:27:45.297,0 days 00:03:15.022000
2022-12-13 10:27:45.297,chrome.exe,2022-12-13 10:28:15.301,0 days 00:00:30.004000
2022-12-13 10:28:15.301,Talkdesk.exe,2022-12-13 10:28:18.302,0 days 00:00:03.001000
2022-12-13 10:28:18.302,chrome.exe,2022-12-13 10:28:45.307,0 days 00:00:27.005000
2022-12-13 10:28:45.307,Talkdesk.exe,2022-12-13 10:29:03.309,0 days 00:00:18.002000
2022-12-13 10:29:03.309,chrome.exe,2022-12-13 10:31:18.325,0 days 00:02:15.016000
2022-12-13 10:31:18.325,Talkdesk.exe,2022-12-13 10:31:30.326,0 days 00:00:12.001000
2022-12-13 10:31:30.326,chrome.exe,2022-12-13 10:32:33.332,0 days 00:01:03.006000
2022-12-13 10:32:33.332,Teams.exe,2022-12-13 10:32:36.333,0 days 00:00:03.001000
2022-12-13 10:32:36.333,chrome.exe,2022-12-13 10:32:42.334,0 days 00:00:06.001000
2022-12-13 10:32:42.334,Talkdesk.exe,2022-12-13 10:32:57.335,0 days 00:00:15.001000
2022-12-13 10:32:57.335,chrome.exe,2022-12-13 10:33:00.336,0 days 00:00:03.001000
2022-12-13 10:33:00.336,Talkdesk.exe,2022-12-13 10:33:06.336,0 days 00:00:06
2022-12-13 10:33:06.336,chrome.exe,2022-12-13 10:34:06.343,0 days 00:01:00.007000
2022-12-13 10:34:06.343,Talkdesk.exe,2022-12-13 10:34:09.344,0 days 00:00:03.001000
2022-12-13 10:34:09.344,chrome.exe,2022-12-13 10:34:21.345,0 days 00:00:12.001000
2022-12-13 10:34:21.345,Talkdesk.exe,2022-12-13 10:34:24.345,0 days 00:00:03
2022-12-13 10:34:24.345,chrome.exe,2022-12-13 10:34:30.346,0 days 00:00:06.001000
2022-12-13 10:34:30.346,Talkdesk.exe,2022-12-13 10:34:33.346,0 days 00:00:03
2022-12-13 10:34:33.346,chrome.exe,2022-12-13 10:35:15.354,0 days 00:00:42.008000
2022-12-13 10:35:15.354,Talkdesk.exe,2022-12-13 10:35:18.354,0 days 00:00:03
2022-12-13 10:35:18.354,chrome.exe,2022-12-13 10:36:30.366,0 days 00:01:12.012000
2022-12-13 10:36:30.366,Talkdesk.exe,2022-12-13 10:36:33.366,0 days 00:00:03
2022-12-13 10:36:33.366,chrome.exe,2022-12-13 10:37:03.370,0 days 00:00:30.004000
2022-12-13 10:37:03.370,Talkdesk.exe,2022-12-13 10:37:09.371,0 days 00:00:06.001000
2022-12-13 10:37:09.371,chrome.exe,2022-12-13 10:38:09.378,0 days 00:01:00.007000
2022-12-13 10:38:09.378,Teams.exe,2022-12-13 10:38:12.378,0 days 00:00:03
2022-12-13 10:38:12.378,chrome.exe,2022-12-13 10:39:24.387,0 days 00:01:12.009000
2022-12-13 10:39:24.387,Discord.exe,2022-12-13 10:39:30.387,0 days 00:00:06
2022-12-13 10:39:30.387,Teams.exe,2022-12-13 10:39:45.388,0 days 00:00:15.001000
2022-12-13 10:39:45.388,chrome.exe,2022-12-13 10:39:51.389,0 days 00:00:06.001000
2022-12-13 10:39:51.389,Teams.exe,2022-12-13 10:40:09.392,0 days 00:00:18.003000
2022-12-13 10:40:09.392,OUTLOOK.EXE,2022-12-13 10:40:12.392,0 days 00:00:03
2022-12-13 10:40:12.392,chrome.exe,2022-12-13 10:40:15.392,0 days 00:00:03
2022-12-13 10:40:15.392,Discord.exe,2022-12-13 10:40:39.396,0 days 00:00:24.004000
2022-12-13 10:40:39.396,OUTLOOK.EXE,2022-12-13 10:40:42.396,0 days 00:00:03
2022-12-13 10:40:42.396,Discord.exe,2022-12-13 10:41:27.401,0 days 00:00:45.005000
2022-12-13 10:41:27.401,chrome.exe,2022-12-13 10:41:33.402,0 days 00:00:06.001000
2022-12-13 10:41:33.402,Discord.exe,2022-12-13 10:41:42.403,0 days 00:00:09.001000
2022-12-13 10:41:42.403,chrome.exe,2022-12-13 10:41:57.404,0 days 00:00:15.001000
2022-12-13 10:41:57.404,firefox.exe,2022-12-13 10:42:27.409,0 days 00:00:30.005000
2022-12-13 10:42:27.409,SearchApp.exe,2022-12-13 10:42:30.409,0 days 00:00:03
2022-12-13 10:42:30.409,explorer.exe,2022-12-13 10:42:33.410,0 days 00:00:03.001000
2022-12-13 10:42:33.410,firefox.exe,2022-12-13 10:42:36.411,0 days 00:00:03.001000
